0,Columbia,Rutgers,Mon Nov  7,,0,Earlham,39,Ball State,109,20221107,NL,,,Arizona State,0,Arizona St,,,Sacred Hrt,0,1
0,Winthrop,Penn State,Mon Nov  7,,0,Ohio,69,Belmont,70,20221107,6.5,,,Arkansas-Pine Bluff,0,Ark Pine Bl,,,Saint Mary-Of-The-Woods,0,1
0,Rob Morris,Ohio State,Mon Nov  7,,0,Cazenovia,56,Binghamton,87,20221107,NL,,,Arkansas,1,Arkansas,,,Sam Hous St,0,1
0,Tarleton State,Arizona St,Mon Nov  7,,0,Northeastern,63,Boston University,72,20221107,2,,,Arkansas Baptist,1,Arkansas Baptist,,,San Diego St,0,1
0,Mt St Marys,W Virginia,Mon Nov  7,,0,Air Force,58,Bowling Green State,62,20221107,3.5,,,Arkansas State,0,Arkansas St,,,San Jose St,0,1
0,TN Tech,Tennessee,Mon Nov  7,,0,Thomas (ME),39,Bryant,147,20221107,NL,,,Arlington Baptist,0,Arlington Baptist College,,,Simon Fraser,0,1
0,TN Martin,Pittsburgh,Mon Nov  7,,0,Lebanon Valley,52,Bucknell,113,20221107,NL,,,Army,1,Army,,,Southwestern,0,1
0,Citadel,Clemson,Mon Nov  7,,0,Colgate,87,Buffalo,88,20221107,-3,,,Auburn,1,Auburn,,,St Fran (PA),0,1
0,Stetson,Florida St,Mon Nov  7,,0,Youngstown State,92,Canisius,81,20221107,-3.5,,,Aurora,1,Aurora,,,St Marys,0,1
0,Jacksonville,Duke,Mon Nov  7,,0,Toccoa Falls,52,Charleston Southern,83,20221107,NL,,,Austin Peay,1,Austin Peay,,,St. Joseph's (LI),0,1
0,North Greenville,Furman,Mon Nov  7,,0,Chaminade,55,Cincinnati,98,20221107,NL,,,Ave Maria,1,Ave Maria,,,St. Joseph's (ME),0,1
0,N Arizona,Michigan St,Mon Nov  7,,0,The Citadel,69,Clemson,80,20221107,18.5,,,Baldwin-Wallace,0,Baldwin-Wallace College,,,St. Martin's,0,1
0,VA Military,Richmond,Mon Nov  7,,0,Notre Dame (OH),72,Cleveland State,68,20221107,NL,,,Ball State,1,Ball State,,,St. Vincent,0,1
0,Thomas College,Bryant,Mon Nov  7,,0,St. Mary's (MD),43,Coastal Carolina,97,20221107,NL,,,Baylor,1,Baylor,,,St. Xavier,0,1
0,S Dakota St,Akron,Mon Nov  7,,0,Chattanooga,78,College of Charleston,85,20221107,4.5,,,Belhaven (MS),0,Belhaven College,,,Ste F Austin,0,1
0,Valparaiso,Toledo,Mon Nov  7,,0,Stonehill,54,UConn,85,20221107,30.5,,,Bellarmine,1,Bellarmine,,,SW Adventist,0,1
0,Earlham,Ball State,Mon Nov  7,,0,Guilford,64,Davidson,87,20221107,NL,,,Belmont,1,Belmont,,,U Penn,0,1
0,Piedmont International,Presbyterian,Mon Nov  7,,0,Wilmington (DE),54,Delaware,78,20221107,NL,,,Benedictine,0,Benedictine University (AZ),,,Central FL,0,1
0,St. Mary's (MD),Coastal Car,Mon Nov  7,,0,Idaho,63,Denver,68,20221107,9.5,,,Bethune-Cookman,0,Beth-Cook,,,Connecticut,0,1
0,Montevallo,Troy,Mon Nov  7,,0,Emory & Henry,66,ETSU,88,20221107,NL,,,Bethel (TN),1,Bethel (TN),,,IL-Chicago,0,1
0,Lebanon Valley,Bucknell,Mon Nov  7,,0,Miami Middletown,52,Eastern Kentucky,137,20221107,NL,,,Bethesda University (CA),0,Bethesda University,,,Maryland BC,0,1
0,Guilford,Davidson,Mon Nov  7,,0,Wayne State (MI),66,Eastern Michigan,75,20221107,NL,,,Binghamton,1,Binghamton,,,Mass Lowell,0,1
0,Edward Waters,NC A&T,Mon Nov  7,,0,Erskine,55,Elon,80,20221107,NL,,,Blackburn,1,Blackburn,,,NC-Asheville,0,1
0,Erskine,Elon,Mon Nov  7,,0,Lynn,46,Florida Atlantic,81,20221107,NL,,,Blue Mountain College,1,Blue Mountain College,,,NC-Grnsboro,0,1
0,Wilmington (DE),Delaware,Mon Nov  7,,0,Houston Christian,66,Florida International,77,20221107,13.5,,,Bluffton,0,Bluffton College,,,NC-Wilmgton,0,1
0,Colgate,Buffalo,Mon Nov  7,,0,Stetson,83,Florida State,74,20221107,18,,,Bob Jones University,0,Bob Jones,,,S Alabama,0,1
0,Siena,Holy Cross,Mon Nov  7,,0,Dartmouth,74,Fordham,88,20221107,6,,,Boise State,1,Boise State,,,S Car State,0,1
0,NJIT,St Peters,Mon Nov  7,,0,North Greenville,55,Furman,91,20221107,NL,,,Boston College,0,Boston Col,,,S Carolina,0,1
0,Idaho,Denver,Mon Nov  7,,0,Virginia State,58,George Washington,85,20221107,NL,,,Boston University,0,Boston U,,,S Dakota St,0,1
0,WI-Grn Bay,Indiana St,Mon Nov  7,,0,Western Carolina,55,Georgia,68,20221107,13.5,,,Bowling Green State,0,Bowling Grn,,,S Florida,0,1
0,Mount Saint Mary College,St Fran (NY),Mon Nov  7,,0,Clayton State,63,Georgia Tech,93,20221107,NL,,,Boyce,1,Boyce,,,S Illinois,0,1
0,Oakwood,N Alabama,Mon Nov  7,,0,Siena,75,Holy Cross,68,20221107,-1,,,Bradley,1,Bradley,,,S Indiana,0,1
0,La Grange,Kennesaw St,Mon Nov  7,,0,Green Bay,53,Indiana State,80,20221107,17.5,,,Brandeis,1,Brandeis,,,S Methodist,0,1
0,Navy,Wm & Mary,Mon Nov  7,,0,Penn,50,Iona,78,20221107,5.5,,,Brescia,1,Brescia,,,S Mississippi,0,1
0,Brevard,SC Upstate,Mon Nov  7,,0,Bethune-Cookman,58,Iowa,89,20221107,28.5,,,Brevard,1,Brevard,,,S Utah,0,1
0,Lafayette,Miami (FL),Mon Nov  7,,0,LaGrange,56,Kennesaw State,99,20221107,NL,,,Brewton-Parker,0,Brewton Parker College,,,SE Louisiana,0,1
0,TX A&M-CC,Miss State,Mon Nov  7,,0,Regent,38,Liberty,104,20221107,NL,,,Bridgewater (VA),1,Bridgewater (VA),,,SE Missouri,0,1
0,Ohio,Belmont,Mon Nov  7,,0,Niagara,49,Maryland,71,20221107,16.5,,,Brown,1,Brown,,,SIU Edward,0,1
0,Central Conn,U Mass,Mon Nov  7,,0,Central Connecticut,67,UMass,94,20221107,17,,,Bryan,1,Bryan,,,St Bonavent,0,1
0,Dartmouth,Fordham,Mon Nov  7,,0,Lafayette,54,Miami (FL),67,20221107,26.5,,,Bryant,1,Bryant,,,St Fran (NY),0,1
0,Virginia-Lynchburg,Norfolk St,Mon Nov  7,,0,Northern Arizona,55,Michigan State,73,20221107,21,,,Bryn Athyn,1,Bryn Athyn,,,St Johns,0,1
0,Morgan St,Xavier,Mon Nov  7,,0,Texas A&M-Corpus Christi,44,Mississippi State,63,20221107,15,,,Bucknell,1,Bucknell,,,St Josephs,0,1
0,Stonehill,Connecticut,Mon Nov  7,,0,Brandeis,47,New Hampshire,79,20221107,NL,,,Buffalo,1,Buffalo,,,St Peters,0,1
0,Clayton State,GA Tech,Mon Nov  7,,0,Virginia-Lynchburg,59,Norfolk State,109,20221107,NL,,,Bushnell,1,Bushnell,,,St. Andrews Presbyterian,0,1
0,Alabama St,UAB,Mon Nov  7,,0,Edward Waters,61,North Carolina A&T,100,20221107,NL,,,Butler,1,Butler,,,St. Augustine,0,1
0,Keystone,Army,Mon Nov  7,,0,Kent State,79,Northern Kentucky,57,20221107,1,,,BYU,1,BYU,,,Sul Ross St.,0,1
0,Hofstra,Princeton,Mon Nov  7,,0,Robert Morris,53,Ohio State,91,20221107,20,,,California Baptist,0,Cal Baptist,,,SUNY-Delhi,0,1
0,Texas State,Wash State,Mon Nov  7,,0,Maryland-Eastern Shore,65,Old Dominion,84,20221107,11,,,Cal State Maritime,0,Cal Maritime,,,Thomas College,0,1
0,Northeastrn,Boston U,Mon Nov  7,,0,Winthrop,68,Penn State,93,20221107,13.5,,,Cal Poly,1,Cal Poly,,,TN Martin,0,1
0,Chattanooga,Col Charlestn,Mon Nov  7,,0,UT-Martin,58,Pitt,80,20221107,8.5,,,Cal State Northridge,0,Cal St Nrdge,,,TN State,0,1
0,Youngs St,Canisius,Mon Nov  7,,0,Carolina,42,Presbyterian,76,20221107,NL,,,Cal State East Bay,0,Cal. State - East Bay,,,TN Tech,0,1
0,Wayne State (MI),E Michigan,Mon Nov  7,,0,Hofstra,83,Princeton,77,20221107,2,,,Cal State Los Angeles,0,Cal. State - Los Angeles,,,TX A&M-CC,0,1
0,Brandeis,N Hampshire,Mon Nov  7,,0,Marshall,82,Queens (NC),83,20221107,-4.5,,,California,1,California,,,TX A&M-Com,0,1
0,Miami (OH) - Middletown,E Kentucky,Mon Nov  7,,0,Quinnipiac,67,Rhode Island,62,20221107,8.5,,,Calumet College,0,Calumet,,,TX Christian,0,1
0,Cazenovia College,Binghamton,Mon Nov  7,,0,VMI,48,Richmond,69,20221107,22.5,,,Calvary,0,Calvary University,,,UC Davis,0,1
0,Loyola-MD,DePaul,Mon Nov  7,,0,Columbia,35,Rutgers,75,20221107,19,,,Campbell,1,Campbell,,,UC Irvine,0,1
0,Harris-Stowe State,SIU Edward,Mon Nov  7,,0,NJIT,59,St. Peter's,73,20221107,8,,,Campbellsville,0,Campbellsville-Harrodsburg,,,UC Merced,0,1
0,Coastal Georgia,Georgia St,Mon Nov  7,,0,Brevard,42,USC Upstate,90,20221107,NL,,,Canisius,1,Canisius,,,UC Riverside,0,1
0,Toccoa Falls,Charl South,Mon Nov  7,,0,Saint Francis (PA),58,St. Bonaventure,71,20221107,11,,,Cardinal Stritch,1,Cardinal Stritch,,,UC San Diego,0,1
0,SE Missouri,S Florida,Mon Nov  7,,0,Mt. St. Mary (NY),56,St. Francis (NY),94,20221107,NL,,,Carlow,0,Carlow University,,,Union,0,1
0,Central Ark,Wichita St,Mon Nov  7,,0,Wagner,76,Temple,73,20221107,16,,,Cazenovia,0,Cazenovia College,,,SC Upstate,0,1
0,Trinity (TX),TX-San Ant,Mon Nov  7,,0,Valparaiso,70,Toledo,85,20221107,13,,,Centenary (LA),0,Centenary,,,TX El Paso,0,1
0,Murray St,Saint Louis,Mon Nov  7,,0,Albany (NY),62,Towson,67,20221107,16.5,,,Centenary (NJ),0,Centenary (N.J.),,,TX-Arlington,0,1
0,F Dickinson,Loyola-Chi,Mon Nov  7,,0,Montevallo,67,Troy,87,20221107,NL,,,Central Arkansas,0,Central Ark,,,TX-San Ant,0,1
0,Lincoln (MO),UMKC,Mon Nov  7,,0,LIU,48,Utah,89,20221107,25,,,Central Baptist,1,Central Baptist,,,U Mass,0,1
0,William Carey,S Mississippi,Mon Nov  7,,0,Brown,65,Vermont,80,20221107,13,,,Central Connecticut,0,Central Conn,,,Utah Val St,0,1
0,Harding,Arkansas St,Mon Nov  7,,0,Manhattan,56,VCU,73,20221107,22.5,,,UCF,0,Central FL,,,VA Military,0,1
0,N Dakota St,Arkansas,Mon Nov  7,,0,Texas State,61,Washington State,83,20221107,12,,,Central Michigan,0,Central Mich,,,VA Tech,0,1
0,N Colorado,Houston,Mon Nov  7,,0,Mount St. Mary's,58,West Virginia,76,20221107,17,,,Chaminade,1,Chaminade,,,W Carolina,0,1
0,Champion Baptist,McNeese St,Mon Nov  7,,0,Navy,74,William & Mary,59,20221107,-2.5,,,Chapman,1,Chapman,,,W Illinois,0,1
0,St. Thomas (TX),Lamar,Mon Nov  7,,0,Bob Jones University,48,Wofford,120,20221107,NL,,,Charleston Southern,0,Charl South,,,W Kentucky,0,1
0,Wisconsin-Parkside,Bradley,Mon Nov  7,,0,Morgan State,73,Xavier,96,20221107,23.5,,,Charlotte,1,Charlotte,,,W Michigan,0,1
0,NC-Asheville,Central FL,Mon Nov  7,,0,Sarah Lawrence,41,Yale,96,20221107,NL,,,Chattanooga,1,Chattanooga,,,W Virginia,0,1
0,Cornell,Boston Col,Mon Nov  7,,0,Jackson State,56,Abilene Christian,65,20221107,16.5,,,Chicago State,0,Chicago St,,,Wash State,0,1
0,Austin Peay,NC State,Mon Nov  7,,0,Harding,55,Arkansas State,86,20221107,NL,,,Cincinnati,1,Cincinnati,,,Wells College,0,1
0,Memphis,Vanderbilt,Mon Nov  7,,0,Cornell,77,Boston College,79,20221107,9,,,Cincinnati-Clermont,0,Cincinnati Clermont,,,Western State Colorado,0,1
0,Geo Mason,Auburn,Mon Nov  7,,0,Wisconsin-Parkside,59,Bradley,93,20221107,18.5,,,The Citadel,0,Citadel,,,WI-Grn Bay,0,1
0,Lehigh,Syracuse,Mon Nov  7,,0,St. Augustine's,62,Campbell,79,20221107,NL,,,Clark (MA),0,Clark,,,Wichita St,0,1
0,S Indiana,Missouri,Mon Nov  7,,0,UNC Asheville,98,UCF,95,20221107,7.5,,,Clarks Summit,1,Clarks Summit,,,Wm & Mary,0,1
0,Stony Brook,Florida,Mon Nov  7,,0,UC-Riverside,66,Colorado,82,20221107,11,,,Clayton State,1,Clayton State,,,Youngs St,0,1
0,Fairfield,Wake Forest,Mon Nov  7,,0,Stony Brook,45,Florida,81,20221107,26.5,,,Clemson,1,Clemson,,,Mississippi,0,1
0,Neb Omaha,Kansas,Mon Nov  7,,0,Coastal Georgia,59,Georgia State,76,20221107,NL,,,Cleveland State,0,Cleveland St,,,N Arizona,0,1
0,IUPUI,Iowa State,Mon Nov  7,,0,North Texas at Dallas,57,Grambling,82,20221107,NL,,,Clinton College,1,Clinton College,,,N Colorado,0,1
0,LA Monroe,Texas A&M,Mon Nov  7,,0,Pfeiffer,71,High Point,109,20221107,NL,,,Coast Guard,0,Coast Guard Academy,,,N Dakota St,0,1
0,Ark Pine Bl,TX Christian,Mon Nov  7,,0,Trinity Christian,48,UIC,82,20221107,NL,,,Coastal Carolina,0,Coastal Car,,,N Florida,0,1
0,Sam Hous St,Oklahoma,Mon Nov  7,,0,Western Illinois,71,Illinois State,68,20221107,9,,,Coastal Georgia,1,Coastal Georgia,,,N Hampshire,0,1
0,Chicago St,Northwestern,Mon Nov  7,,0,North Dakota,65,Incarnate Word,57,20221107,-2.5,,,College of Charleston,0,Col Charlestn,,,N Illinois,0,1
0,Maine,Nebraska,Mon Nov  7,,0,IUPUI,39,Iowa State,88,20221107,26.5,,,Colby-Sawyer,1,Colby-Sawyer,,,N Iowa,0,1
0,Illinois-Springfield,N Illinois,Mon Nov  7,,0,St. Thomas (TX),61,Lamar,63,20221107,NL,,,Colgate,1,Colgate,,,N Kentucky,0,1
0,Jackson St,Abl Christian,Mon Nov  7,,0,Centenary (LA),55,Louisiana,106,20221107,NL,,,Colorado,1,Colorado,,,N Mex State,0,1
0,Trinity Christian,IL-Chicago,Mon Nov  7,,0,Fairleigh Dickinson,82,Loyola (IL),88,20221107,24.5,,,Colorado Christian,1,Colorado Christian,,,NC A&T,0,1
0,North Texas-Dallas,Grambling St,Mon Nov  7,,0,Radford,69,Marquette,79,20221107,19,,,Colorado College,1,Colorado College,,,NC Central,0,1
0,AR Lit Rock,S Illinois,Mon Nov  7,,0,Champion Christian,54,McNeese State,110,20221107,NL,,,Colorado State,0,Colorado St,,,Neb Omaha,0,1
0,Pfeiffer,High Point,Mon Nov  7,,0,Evansville,78,Miami (OH),74,20221107,4.5,,,Columbia,1,Columbia,,,New England Nor'easters,0,1
0,St. Augustine,Campbell,Mon Nov  7,,0,Southern Indiana,91,Missouri,97,20221107,19.5,,,Columbia International,1,Columbia International,,,Nicholls St,0,1
0,Anderson (SC),Samford,Mon Nov  7,,0,Lincoln (MO),59,Kansas City,56,20221107,NL,,,Concord,0,Concord College,,,Norfolk St,0,1
0,W Illinois,Illinois St,Mon Nov  7,,0,Maine,66,Nebraska,79,20221107,21,,,Concordia (MI),1,Concordia (MI),,,North Central,0,1
0,W Carolina,Georgia,Mon Nov  7,,0,Oakwood,51,North Alabama,108,20221107,NL,,,UConn,0,Connecticut,,,North Texas-Dallas,0,1
0,Southern Nazarene,North Texas,Mon Nov  7,,0,Austin Peay,50,NC State,99,20221107,13,,,Coppin State,1,Coppin State,,,Northeastrn,0,1
0,Centenary,LA Lafayette,Mon Nov  7,,0,Southern Nazarene,47,North Texas,53,20221107,NL,,,Cornell,1,Cornell,,,Northwest Ohio,0,1
0,South Dakota,Wisconsin,Mon Nov  7,,0,Wartburg,49,Northern Iowa,105,20221107,NL,,,Covenant,1,Covenant,,,Notre Dame College,0,1
0,UC Riverside,Colorado,Mon Nov  7,,0,Chicago State,54,Northwestern,85,20221107,23.5,,,Creighton,1,Creighton,,,NW State,0,1
0,Loyola (LA),SE Louisiana,Mon Nov  7,,0,Sam Houston State,52,Oklahoma,51,20221107,16,,,Crowley's Ridge,0,Crowley's Ridge College,,,Oklahoma St,0,1
0,North Dakota,Incar Word,Mon Nov  7,,0,Murray State,68,Saint Louis,91,20221107,13.5,,,Crown (MN),0,Crown College,,,Oregon St,0,1
0,Radford,Marquette,Mon Nov  7,,0,Anderson (SC),85,Samford,109,20221107,NL,,,Cal State Bakersfield,0,CS Bakersfld,,,Ottawa University (Arizona),0,1
0,St. Thomas,Creighton,Mon Nov  7,,0,Southeast Missouri State,64,South Florida,61,20221107,11,,,Cal State Fullerton,0,CS Fullerton,,,Park University,0,1
0,Maryland BC,Tulane,Mon Nov  7,,0,Loyola (LA),72,Southeastern Louisiana,90,20221107,17,,,D'Youville,1,D'Youville,,,Penn St. Wilkes Barre,0,1
0,TX A&M-Com,S Methodist,Mon Nov  7,,0,Little Rock,63,Southern Illinois,94,20221107,14.5,,,Dakota State,1,Dakota State,,,Penn St.-Allegheny,0,1
0,Longwood,Alabama,Mon Nov  7,,0,Harris-Stowe,57,SIU-Edwardsville,85,20221107,NL,,,Dallas Christian,1,Dallas Christian,,,Penn St.-New Kensington,0,1
0,Wartburg,N Iowa,Mon Nov  7,,0,Texas A&M-Commerce,60,SMU,77,20221107,16.5,,,Dartmouth,1,Dartmouth,,,Penn St.-York,0,1
0,Evansville,Miami (OH),Mon Nov  7,,0,William Carey,42,Southern Miss,75,20221107,NL,,,Davidson,1,Davidson,,,Pittsburgh,0,1
0,Le Tourneau,Ste F Austin,Mon Nov  7,,0,Lehigh,72,Syracuse,90,20221107,17,,,Davis & Elkins,1,Davis & Elkins,,,Portland Bible College,0,1
0,Mississippi College,LA Tech,Mon Nov  7,,0,Louisiana-Monroe,54,Texas A&M,87,20221107,20.5,,,Dayton,1,Dayton,,,Portland St,0,1
0,Gard-Webb,Colorado St,Mon Nov  7,,0,Trinity (TX),47,UTSA,74,20221107,NL,,,Dean,1,Dean,,,Queens,0,1
0,S Utah,New Mexico,Mon Nov  7,,0,UMBC,67,Tulane,89,20221107,15.5,,,Defiance,1,Defiance,,,Regent University,0,1
0,Utah Val St,Utah State,Mon Nov  7,,0,Memphis,76,Vanderbilt,67,20221107,-2.5,,,Delaware,1,Delaware,,,Rob Morris,0,1
0,TX-Arlington,Oklahoma St,Mon Nov  7,,0,Fairfield,59,Wake Forest,71,20221107,13,,,Delaware State,0,Delaware St,,,Rochester College,0,1
0,Idaho State,BYU,Mon Nov  7,,0,Central Arkansas,55,Wichita State,79,20221107,17.5,,,Denver,1,Denver,,,Rust College,0,1
0,Montana St,Grd Canyon,Mon Nov  7,,0,South Dakota,59,Wisconsin,85,20221107,12,,,DePaul,1,DePaul,,,AR Lit Rock,0,1
0,NC-Wilmgton,N Carolina,Mon Nov  7,,0,Idaho State,56,BYU,60,20221107,24,,,Detroit,1,Detroit,,,Delaware St,0,1
0,Delaware St,VA Tech,Mon Nov  7,,0,Gardner-Webb,63,Colorado State,65,20221107,7.5,,,Dillard,1,Dillard,,,E Carolina,0,1
0,NC Central,Virginia,Mon Nov  7,,0,Montana State,54,Grand Canyon,60,20221107,6.5,,,District of Columbia,1,District of Columbia,,,E Illinois,0,1
0,TX-Pan Am,Kansas St,Mon Nov  7,,0,Shorter,48,Jacksonville State,111,20221107,NL,,,Drake,1,Drake,,,E Kentucky,0,1
0,NW State,Texas Tech,Mon Nov  7,,0,Texas-Rio Grande Valley,59,Kansas State,93,20221107,18.5,,,Drexel,1,Drexel,,,E Michigan,0,1
0,W Michigan,Minnesota,Mon Nov  7,,0,Mississippi College,61,Louisiana Tech,78,20221107,NL,,,Duke,1,Duke,,,E Tenn St,0,1
0,E Illinois,Illinois,Mon Nov  7,,0,Western Michigan,60,Minnesota,61,20221107,9.5,,,Duquesne,1,Duquesne,,,E Washingtn,0,1
0,Alcorn State,Mississippi,Mon Nov  7,,0,Alcorn State,58,Ole Miss,73,20221107,20.5,,,East Carolina,0,E Carolina,,,East-West University,0,1
0,TX El Paso,Texas,Mon Nov  7,,0,Southern Utah,81,New Mexico,89,20221107,8,,,Eastern Illinois,0,E Illinois,,,Ecclesia College,0,1
0,Fisk,TN State,Mon Nov  7,,0,New Mexico Highlands,52,New Mexico State,101,20221107,NL,,,Eastern Kentucky,0,E Kentucky,,,F Dickinson,0,1
0,Colorado Christian,Wyoming,Mon Nov  7,,0,UT Arlington,66,Oklahoma State,77,20221107,20.5,,,Eastern Michigan,0,E Michigan,,,FDU-Florham,0,1
